X,y
37.45401188,104.5055004
95.07143064,244.6885031
73.19939418,193.9160932
59.86584842,139.7889319
15.60186404,46.80794123
15.59945203,52.5697558
5.808361217,39.29984349
86.61761458,221.3613343
60.11150117,152.1938169
70.80725778,182.000574
2.05844943,24.30014475
96.99098522,255.7649741
83.24426408,212.8130582
21.23391107,68.217452
18.18249672,56.4270173
18.34045099,65.53757737
30.4242243,79.0400298
52.47564316,137.9124864
43.19450186,114.0651731
29.12291402,68.17213557
61.18528947,165.9244265
13.94938607,47.48401788
29.21446485,83.0872967
36.63618433,99.24458949
45.60699842,109.8637886
78.51759614,202.0875371
19.96737822,56.49130037
51.42344384,130.5358369
59.24145689,156.4907851
4.645041272,25.65311175
60.75448519,180.748072
17.05241237,54.37680905
6.505159299,28.83840215
94.88855373,246.4769252
96.56320331,232.2202961
80.83973481,211.8341983
30.46137692,86.75574439
9.767211401,59.05044963
68.42330265,179.134647
44.01524937,123.0535969
12.20382348,40.16244101
49.51769101,122.1074472
3.438852112,30.02535842
90.93204021,244.8494308
25.87799816,82.60531487
66.25222844,166.5366965
31.17110761,101.9557121
52.00680212,125.9984947
54.67102793,152.5461408
18.48544555,78.11817014
96.95846278,242.4907937
77.51328234,198.1202285
93.94989416,245.871249
89.48273504,228.6720811
59.78999788,143.9683604
92.1874235,241.1541885
8.849250205,21.50008838
19.59828624,63.73163991
4.522728891,12.11257989
32.53303308,106.8319267
38.86772897,99.3367895
27.13490318,74.61664278
82.87375092,225.3195495
35.67533267,86.87968851
28.09345097,82.50822677
54.26960832,158.7454483
14.0924225,29.1562239
80.21969808,212.3955838
7.455064368,31.23648886
98.68869366,264.5399629
77.22447693,190.6916852
19.87156815,46.47435425
0.552211712,16.59994494
81.54614285,216.8352038
70.68573438,189.2192645
72.9007168,195.7162741
77.12703467,196.0173395
7.404465173,30.83369991
35.84657285,102.5471569
11.58690595,31.8237507
86.31034259,244.4336016
62.32981268,170.5628609
33.08980249,80.81147124
6.355835029,32.45512366
31.09823217,77.99876373
32.5183322,99.16667654
72.96061783,203.9875004
63.75574714,161.1825447
88.72127426,241.4369469
47.22149252,132.1815406
11.95942459,48.11916308
71.32447872,207.2791266
76.07850486,197.742381
56.12771976,142.7819377
77.096718,193.8466507
49.37955964,125.2907962
52.27328294,139.9121903
42.75410184,120.2967743
2.541912674,19.12168968
10.7891427,45.24468924
